t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,beta,delta_cmd,delta_actual,phase
0.1700,1.253752,-2.522995,0.791265,49.5897,158.9126,438.7925,-1.619106,1.495893,22.494257,2
0.1710,1.351569,-2.435152,1.209549,97.8178,87.8410,418.2763,-1.441142,1.495893,22.887838,2
0.1720,1.477118,-2.447035,1.591247,125.5490,-11.8805,381.6922,-1.345685,1.495893,23.340205,2
0.1730,1.605183,-2.533311,1.957338,128.0647,-86.2703,366.0905,-1.308589,1.495893,23.851644,2
0.1740,1.714390,-2.663213,2.338874,109.2069,-129.9006,381.5373,-1.299008,1.495893,24.437035,2
0.1750,1.776163,-2.828793,2.758687,61.7730,-165.5779,419.8117,-1.304935,1.495893,25.110934,2
0.1760,1.754341,-3.031154,-3.052961,-21.8219,-202.3527,471.5334,-3.037101,1.495893,25.812454,2
0.1770,1.663167,3.040255,-2.563218,-91.1739,-211.7733,489.7327,1.512035,1.495893,26.411069,2
0.1780,1.548648,2.885245,-2.119612,-114.5189,-155.0126,443.6002,1.520284,1.495893,26.909033,2
0.1790,1.438854,2.807655,-1.699239,-109.7944,-77.5902,420.3730,1.578502,1.495893,27.335025,2
0.1800,1.351859,2.815970,-1.264931,-86.9955,8.3149,434.3073,1.702997,1.495893,27.709557,2
0.1810,1.300515,2.913580,-0.792790,-51.3439,97.6092,472.1399,1.902752,1.495893,28.054385,2
0.1820,1.294105,3.082995,-0.278546,-6.4095,169.4142,514.2421,2.166211,1.495893,28.399123,2
0.1830,1.339128,-3.008292,0.258090,45.0223,191.8975,536.6345,-2.117460,1.495893,28.779166,2
0.1840,1.433707,-2.863959,0.782466,94.5791,144.3327,524.3741,-1.869479,1.495893,29.222145,2
0.1850,1.559585,-2.817956,1.271449,125.8781,46.0040,488.9824,-1.702664,1.495893,29.737550,2
0.1860,1.689350,-2.868231,1.736578,129.7650,-50.2748,465.1297,-1.612374,1.495893,30.334947,2
0.1870,1.790517,-2.991319,2.210887,101.1678,-123.0847,474.3071,-1.572535,1.495893,31.044696,2
0.1880,1.808941,3.101189,2.729959,18.4239,-190.6645,519.0647,2.999944,1.495893,31.887281,2
0.1890,1.707168,2.837720,-2.974111,-101.7734,-263.4595,579.0993,1.252675,1.495893,32.663546,2
0.1900,1.556405,2.587145,-2.448421,-150.7627,-250.5820,525.6827,1.213809,1.495893,33.287882,2
0.1910,1.410767,2.420993,-1.990237,-145.6389,-166.1518,458.1752,1.217930,1.495893,33.818052,2
0.1920,1.310600,2.356934,-1.524126,-100.1669,-64.0632,466.0973,1.298463,1.495893,34.277181,2
0.1930,1.281401,2.419244,-1.002687,-29.1985,62.3100,521.4361,1.485990,1.495893,34.687124,2
0.1940,1.318539,2.581258,-0.430730,37.1383,162.0155,571.9580,1.759807,1.495893,35.090851,2
0.1950,1.402705,2.748333,0.140072,84.1657,167.0745,570.8015,2.036989,1.495893,35.530468,2
0.1960,1.514009,2.844025,0.675382,111.3035,95.6911,535.3037,2.252577,1.495893,36.029693,2
0.1970,1.630400,2.847837,1.178419,116.3913,3.8148,503.0263,2.392541,1.495893,36.609422,2
0.1980,1.721754,2.765690,1.676000,91.3540,-82.1324,497.5667,2.468502,1.495893,37.316436,2
0.1990,1.724184,2.591274,2.208598,2.4299,-174.3926,532.5765,2.486908,1.495893,38.233771,2
0.2000,1.583043,2.283985,2.818644,-141.1413,-307.2845,610.0230,2.429801,1.495893,39.065481,2
0.2010,1.387056,1.951302,-2.965515,-195.9868,-332.6722,498.9733,0.610352,1.495893,39.691044,2
0.2020,1.168353,1.678820,-2.612433,-218.7026,-272.5150,352.8498,0.508479,1.495893,40.247133,2
0.2030,0.960044,1.432383,-2.302781,-208.3090,-246.4723,309.4622,0.413702,1.495893,40.772616,2
0.2040,0.797931,1.234838,-1.974842,-162.1128,-197.4876,327.9495,0.359471,1.495893,41.255772,2
0.2050,0.685043,1.112027,-1.614497,-112.8885,-122.7709,360.3837,0.368430,1.495893,41.675128,2
0.2060,0.594488,1.013699,-1.293469,-90.5548,-98.4029,320.8898,0.384472,1.495893,42.056342,2
0.2070,0.505540,0.900800,-1.025155,-88.9478,-112.9533,268.1502,0.375539,1.495893,42.438750,2
0.2080,0.405105,0.762898,-0.780649,-100.4356,-137.8723,244.4285,0.341931,1.495893,42.863036,2
0.2090,0.281195,0.589048,-0.530214,-123.9097,-173.7886,250.4138,0.283795,1.495893,43.383470,2
0.2100,0.119013,0.358143,-0.240684,-162.1818,-230.8497,289.5333,0.194826,1.495893,44.088203,2
0.2110,-0.008579,0.031970,0.137876,-127.5915,-326.1465,378.5829,0.060853,1.495893,44.691696,2
0.2120,-0.064492,-0.229160,0.480239,-55.9130,-261.0882,342.2311,-0.035688,1.495893,44.987142,2
0.2130,-0.094474,-0.318036,0.686809,-29.9822,-88.8087,206.4270,-0.043987,1.495893,45.177456,2
0.2140,-0.116490,-0.344786,0.850373,-22.0160,-26.7348,163.4503,-0.018834,1.495893,45.335608,2
0.2150,-0.137256,-0.349671,1.003639,-20.7659,-4.9026,153.1745,0.019413,1.495893,45.486167,2
0.2160,-0.158897,-0.345464,1.158405,-21.6411,4.1845,154.6997,0.064682,1.495893,45.636612,2
0.2170,-0.181931,-0.334973,1.319342,-23.0340,10.4733,160.8933,0.116204,1.495893,45.788809,2
0.2180,-0.206278,-0.317584,1.488928,-24.3469,17.3748,169.5580,0.175101,1.495893,45.943019,2
0.2190,-0.231421,-0.291405,1.669317,-25.1434,26.1703,180.3723,0.243337,1.495893,46.099016,2
0.2200,-0.256187,-0.253669,1.863051,-24.7662,37.7302,193.7244,0.323618,1.495893,46.256000,2
0.2210,-0.278410,-0.200484,2.073218,-22.2221,53.1805,210.1625,0.419616,1.495893,46.411946,2
