t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,tau
0.8292,0.433799,0.516532,-1.038419,-2.8418,20.7612,25.5294,3.0000
0.8333,0.415900,0.419198,-0.914622,-5.2192,25.0396,32.1979,3.0000
0.8375,0.386604,0.300996,-0.764136,-8.2436,30.5948,38.4383,3.0000
0.8417,0.340538,0.152668,-0.588597,-13.1372,39.2210,44.2943,3.0000
0.8458,0.257403,-0.056901,-0.390967,-26.1243,59.9961,48.8330,3.0000
0.8500,0.122658,-0.274744,-0.293618,-23.8184,33.0994,9.8455,2.2880
0.8542,0.068272,-0.345018,-0.248894,-8.8459,11.0328,12.9612,0.5435
0.8583,0.035355,-0.384985,-0.194801,-7.3707,8.8144,13.0861,0.2207
0.8625,0.006237,-0.418919,-0.141728,-6.7522,7.7457,12.5737,-0.0707
0.8667,-0.021189,-0.449383,-0.092125,-6.4632,7.0335,11.5344,-0.4006
0.8708,-0.047918,-0.477213,-0.048336,-6.3653,6.4412,9.9192,-0.8061
0.8750,-0.074639,-0.502628,-0.013092,-6.4193,5.8654,7.6042,-1.3213
0.8792,-0.101996,-0.525558,0.010209,-6.6309,5.2558,4.4055,-1.9844
0.8833,-0.130752,-0.545822,0.017235,-7.0434,4.6020,0.0754,-2.8402
0.8875,-0.161968,-0.563327,0.002435,-7.7472,3.9460,-5.7064,-3.0000
0.8917,-0.195790,-0.577960,-0.035355,-8.3383,3.2618,-11.0609,-3.0000
0.8958,-0.231747,-0.589993,-0.093392,-8.8090,2.6888,-15.6189,-3.0000
0.9000,-0.269445,-0.600133,-0.168472,-9.1935,2.3107,-19.4249,-3.0000
0.9042,-0.308508,-0.609264,-0.257553,-9.4830,2.1503,-22.5149,-3.0000
0.9083,-0.348469,-0.618265,-0.357751,-9.6479,2.1936,-24.9286,-3.0000
0.9125,-0.388716,-0.627902,-0.466377,-9.6534,2.4069,-26.7174,-3.0000
0.9167,-0.428508,-0.638777,-0.580995,-9.4712,2.7490,-27.9474,-3.0000
0.9208,-0.467021,-0.651323,-0.699482,-9.0864,3.1807,-28.7004,-3.0000
0.9250,-0.503405,-0.665829,-0.820096,-8.4998,3.6706,-29.0719,-3.0000
0.9292,-0.536855,-0.682482,-0.941519,-7.7263,4.1989,-29.1692,-3.0000
0.9333,-0.566654,-0.701417,-1.062904,-6.7907,4.7577,-29.1080,0.0000
0.9375,-0.586736,-0.716684,-1.159737,-3.6547,2.9288,-19.6877,0.0000
0.9417,-0.595174,-0.724120,-1.221457,-1.0630,1.0534,-11.8768,0.0000
0.9458,-0.593978,-0.724054,-1.254568,1.0890,-0.6819,-5.5894,0.0000
0.9500,-0.584669,-0.717260,-1.264968,2.9198,-2.2148,-0.6476,0.0000
